time_ms,ias_hz,frame_rms
735235,0.0,2.0
735747,0.0,2.17
736259,0.0,2.07
736771,0.0,1.97
737283,0.0,2.09
737795,0.0,1.95
738307,0.0,1.95
738819,0.0,2.03
739331,0.0,95.66
739843,0.0,420.88
740355,0.0,0.66
740867,0.0,0.76
741379,0.0,0.73
741891,0.0,0.83
742403,0.0,0.87
742915,0.0,0.92
743427,0.0,14.11
743939,0.0,433.76
744451,0.0,10.2
744963,0.0,8.45
745475,0.0,8.98
745987,0.0,10.09
746499,0.0,11.43
747011,0.0,9.31
747523,0.0,9.25
748035,0.0,9.24
748547,0.0,56.28
749059,0.0,180.66
749571,22.65,208.0
750083,23.23,261.82
750595,23.42,269.86
751107,23.42,267.63
751619,23.42,273.5
752131,23.42,278.95
752643,23.61,281.66
753155,23.61,282.52
753667,23.61,190.12
754179,0.0,15.73
754691,0.0,9.0
755203,0.0,9.48
755715,0.0,11.32
756227,0.0,11.39
756739,0.0,11.0
757251,0.0,11.01
757763,0.0,8.49
758275,0.0,12.25
758787,0.0,91.5
759299,0.0,217.39
759811,22.84,218.94
760323,23.23,263.41
760835,23.42,268.69
761347,23.42,273.48
761859,23.42,278.92
762371,23.42,283.8
762883,23.42,282.51
763395,23.61,284.6
763907,23.61,89.23
764419,0.0,10.9
764931,0.0,9.13
765443,0.0,9.41
765955,0.0,12.26
766467,0.0,13.85
766979,0.0,9.06
767491,0.0,8.74
768003,0.0,10.35
768515,0.0,32.19
769027,0.0,133.29
769539,22.27,201.54
770051,22.84,245.64
770563,23.42,268.61
771075,23.42,281.87
771587,23.61,286.45
772099,23.61,287.38
772611,23.61,289.9
773123,23.61,286.83
773635,23.61,228.99
774147,23.23,29.35
774659,0.0,10.54
775171,0.0,10.98
775683,0.0,9.1
776195,0.0,9.93
776707,0.0,8.72
777219,0.0,9.39
777731,0.0,9.24
778243,0.0,8.48
778755,0.0,65.73
779267,0.0,171.45
779779,22.46,200.07
780291,22.84,251.35
780803,23.23,266.72
781315,23.42,271.88
781827,23.42,274.99
782339,23.61,289.15
782851,23.61,293.04
783363,23.61,289.79
783875,23.61,167.87
784387,0.0,11.37
784899,0.0,10.76
785411,0.0,11.28
785923,0.0,8.84
786435,0.0,8.47
786947,0.0,10.53
787459,0.0,10.59
787971,0.0,8.81
788483,0.0,16.93
788995,0.0,105.96
789507,0.0,217.72
790019,23.04,238.58
790531,23.42,276.18
791043,23.42,283.39
791555,23.61,291.84
792067,23.61,292.69
792579,23.61,296.6
793091,23.61,300.12
793603,23.61,291.01
794115,23.23,67.55
794627,0.0,11.84
795139,0.0,9.1
795651,0.0,8.33
796163,0.0,9.65
796675,0.0,10.4
797187,0.0,8.68
797699,0.0,9.51
798211,0.0,10.09
798723,0.0,40.93
799235,0.0,148.72
799747,5.57,204.87
800259,23.42,266.15
800771,23.61,291.61
801283,23.8,302.27
801795,23.8,302.96
802307,23.8,303.33
802819,23.8,303.02
803331,23.8,302.37
803843,23.61,226.27
804355,6.34,21.99
804867,0.0,9.49
805379,0.0,8.48
805891,0.0,11.47
806403,0.0,13.34
806915,0.0,10.44
807427,0.0,8.85
807939,0.0,9.22
808451,0.0,9.07
808963,0.0,8.78
809475,0.0,10.74
809987,0.0,10.65
810499,0.0,10.3
811011,0.0,8.79
811523,0.0,8.58
812035,0.0,11.25
812547,0.0,9.87
813059,0.0,10.02
813571,0.0,10.85
814083,0.0,11.17
814595,0.0,4.36
