time_ms,ias_hz,frame_rms
2270723,0.0,1.92
2271235,0.0,1.96
2271747,0.0,1.82
2272259,0.0,1.81
2272771,0.0,1.87
2273283,0.0,1.81
2273795,0.0,1.95
2274307,0.0,1.85
2274819,0.0,1.84
2275331,0.0,1.82
2275843,0.0,1.76
2276355,0.0,1.75
2276867,0.0,419.81
2277379,0.0,98.02
2277891,0.0,0.7
2278403,0.0,0.58
2278915,0.0,0.7
2279427,0.0,0.53
2279939,0.0,0.68
2280451,0.0,0.64
2280963,0.0,71.47
2281475,0.0,402.31
2281987,0.0,11.6
2282499,0.0,11.34
2283011,0.0,9.47
2283523,0.0,11.06
2284035,0.0,9.13
2284547,0.0,11.0
2285059,0.0,10.15
2285571,0.0,9.83
2286083,0.0,10.4
2286595,0.0,10.39
2287107,0.0,10.68
2287619,0.0,11.24
2288131,0.0,10.04
2288643,0.0,11.07
2289155,0.0,10.12
2289667,0.0,10.4
2290179,0.0,9.03
2290691,0.0,9.12
2291203,0.0,9.63
2291715,0.0,10.73
2292227,0.0,10.28
2292739,0.0,10.52
2293251,0.0,11.47
2293763,0.0,9.71
2294275,0.0,10.35
2294787,0.0,9.88
2295299,0.0,11.38
2295811,0.0,10.86
2296323,0.0,20.93
2296835,0.0,26.98
2297347,5.0,29.76
2297859,5.19,31.5
2298371,5.19,29.97
2298883,5.19,31.17
2299395,5.19,30.0
2299907,5.19,30.69
2300419,5.19,30.51
2300931,5.38,30.79
2301443,5.19,31.44
2301955,5.19,30.26
2302467,5.19,31.2
2302979,5.19,31.63
2303491,5.38,38.26
2304003,9.79,92.89
2304515,10.37,103.47
2305027,10.75,111.11
2305539,10.94,114.48
2306051,10.94,110.27
2306563,10.94,109.49
2307075,10.75,109.29
2307587,10.94,110.63
2308099,10.94,110.07
2308611,10.75,110.15
2309123,10.75,103.37
2309635,10.75,104.88
2310147,10.75,107.76
2310659,10.75,106.07
2311171,10.94,117.52
2311683,16.13,114.03
2312195,16.51,107.77
2312707,16.7,112.54
2313219,16.7,109.73
2313731,16.7,107.83
2314243,16.7,103.58
2314755,16.7,105.0
2315267,16.7,109.44
2315779,16.7,109.15
2316291,16.7,110.73
2316803,16.89,117.17
2317315,16.89,120.8
2317827,16.89,118.92
2318339,16.89,119.49
2318851,16.89,179.67
2319363,20.73,284.25
2319875,20.92,259.4
2320387,21.31,236.05
2320899,21.5,217.13
2321411,21.5,210.06
2321923,21.5,213.28
2322435,21.31,222.56
2322947,21.31,221.25
2323459,21.5,213.97
2323971,21.5,212.41
2324483,21.5,212.93
2324995,21.5,209.74
2325507,21.5,210.5
2326019,21.5,209.87
2326531,22.08,209.08
2327043,22.65,244.16
2327555,22.84,259.33
2328067,22.84,267.92
2328579,23.04,276.26
2329091,23.04,287.63
2329603,23.23,291.98
2330115,23.23,286.22
2330627,23.23,282.81
2331139,23.23,280.18
2331651,23.23,285.4
2332163,23.23,286.12
2332675,23.23,290.56
2333187,23.23,286.23
2333699,23.23,286.59
2334211,23.23,289.95
2334723,23.23,292.95
2335235,23.23,291.19
2335747,23.23,287.82
2336259,23.23,290.23
2336771,23.23,290.07
2337283,23.23,291.16
2337795,23.23,291.56
2338307,23.23,293.9
2338819,23.23,293.01
2339331,23.23,293.49
2339843,23.23,290.23
2340355,23.23,293.06
2340867,23.23,297.26
2341379,23.23,235.57
2341891,6.72,23.63
2342403,0.0,10.18
2342915,0.0,10.29
2343427,0.0,10.12
2343939,0.0,9.38
2344451,0.0,9.38
2344963,0.0,10.33
2345475,0.0,9.47
2345987,0.0,10.29
2346499,0.0,11.04
2347011,0.0,11.33
2347523,0.0,11.11
2348035,0.0,9.32
2348547,0.0,10.02
2349059,0.0,11.63
2349571,0.0,10.96
2350083,0.0,10.28
2350595,0.0,12.87
2351107,0.0,12.05
2351619,0.0,22.42
2352131,0.0,9.01
2352643,0.0,2.18
2353155,0.0,2.16
