time_ms,ias_hz,frame_rms
3449859,0.0,2.02
3450371,0.0,1.98
3450883,0.0,2.03
3451395,0.0,1.96
3451907,0.0,1.93
3452419,0.0,1.92
3452931,0.0,1.96
3453443,0.0,2.1
3453955,0.0,1.99
3454467,0.0,105.57
3454979,0.0,416.01
3455491,0.0,0.59
3456003,0.0,0.67
3456515,0.0,0.72
3457027,0.0,0.7
3457539,0.0,0.71
3458051,0.0,0.83
3458563,0.0,0.64
3459075,0.0,345.17
3459587,0.0,191.7
3460099,0.0,9.54
3460611,0.0,9.66
3461123,0.0,9.46
3461635,0.0,11.54
3462147,0.0,12.58
3462659,0.0,11.76
3463171,0.0,9.54
3463683,0.0,10.41
3464195,0.0,9.5
3464707,0.0,11.71
3465219,0.0,9.28
3465731,0.0,11.11
3466243,0.0,11.31
3466755,0.0,9.16
3467267,0.0,10.74
3467779,0.0,10.77
3468291,0.0,10.47
3468803,0.0,14.21
3469315,0.0,13.21
3469827,0.0,14.03
3470339,0.0,13.03
3470851,0.0,14.24
3471363,0.0,16.29
3471875,0.0,16.41
3472387,0.0,18.67
3472899,0.0,21.28
3473411,0.0,23.09
3473923,5.38,24.64
3474435,5.19,24.2
3474947,5.38,24.65
3475459,5.0,24.71
3475971,5.0,26.35
3476483,5.19,30.92
3476995,5.38,35.44
3477507,5.57,37.93
3478019,6.15,42.65
3478531,6.53,56.48
3479043,6.72,65.22
3479555,7.11,67.66
3480067,7.49,68.88
3480579,7.87,72.77
3481091,8.26,77.09
3481603,8.64,86.64
3482115,9.03,93.05
3482627,9.41,94.01
3483139,9.79,87.9
3483651,9.98,100.69
3484163,10.37,101.27
3484675,10.75,106.31
3485187,11.14,124.95
3485699,11.33,136.86
3486211,11.71,122.12
3486723,12.1,110.49
3487235,12.29,114.84
3487747,12.48,122.73
3488259,12.86,116.5
3488771,13.25,96.18
3489283,13.63,113.02
3489795,14.02,139.6
3490307,14.4,174.05
3490819,14.59,180.28
3491331,14.78,161.94
3491843,15.17,117.91
3492355,15.55,110.35
3492867,16.13,100.16
3493379,16.51,104.3
3493891,17.09,117.54
3494403,17.47,116.62
3494915,17.85,115.96
3495427,18.05,131.83
3495939,18.43,158.51
3496451,18.81,172.47
3496963,19.01,179.6
3497475,19.39,204.7
3497987,19.77,245.7
3498499,19.77,264.25
3499011,19.96,294.57
3499523,20.16,303.14
3500035,20.54,284.67
3500547,20.54,274.78
3501059,20.73,270.87
3501571,21.12,251.19
3502083,21.31,229.27
3502595,21.5,214.39
3503107,21.5,203.55
3503619,21.69,193.92
3504131,21.88,188.77
3504643,22.08,184.32
3505155,22.27,191.84
3505667,22.27,196.35
3506179,22.27,198.48
3506691,22.46,207.52
3507203,22.46,216.25
3507715,22.65,230.2
3508227,22.65,240.15
3508739,22.84,250.83
3509251,22.84,257.92
3509763,22.84,262.01
3510275,22.84,258.1
3510787,22.65,244.18
3511299,22.65,240.9
3511811,22.65,241.36
3512323,22.65,246.48
3512835,22.84,254.26
3513347,22.84,255.54
3513859,22.84,261.98
3514371,22.84,260.88
3514883,23.04,267.4
3515395,23.04,271.98
3515907,23.04,272.7
3516419,23.04,273.92
3516931,23.04,276.88
3517443,23.04,276.48
3517955,23.23,276.18
3518467,23.23,276.06
3518979,23.23,268.56
3519491,23.42,63.85
3520003,0.0,11.96
3520515,0.0,11.17
3521027,0.0,9.73
3521539,0.0,10.97
3522051,0.0,10.34
3522563,0.0,10.9
3523075,0.0,9.09
3523587,0.0,10.58
3524099,0.0,10.98
3524611,0.0,10.18
3525123,0.0,9.54
3525635,0.0,10.38
3526147,0.0,10.27
3526659,0.0,10.1
3527171,0.0,11.75
3527683,0.0,11.04
3528195,0.0,10.57
3528707,0.0,10.38
3529219,0.0,10.92
3529731,0.0,8.86
3530243,0.0,2.16
3530755,0.0,2.03
