time_ms,ias_hz,frame_rms
3184643,0.0,1.93
3185155,0.0,1.84
3185667,0.0,1.96
3186179,0.0,2.06
3186691,0.0,1.82
3187203,0.0,1.88
3187715,0.0,1.86
3188227,0.0,1.89
3188739,0.0,1.93
3189251,0.0,1.86
3189763,0.0,308.96
3190275,0.0,246.38
3190787,0.0,0.64
3191299,0.0,0.76
3191811,0.0,0.56
3192323,0.0,0.6
3192835,0.0,0.67
3193347,0.0,0.66
3193859,0.0,71.74
3194371,0.0,408.88
3194883,0.0,9.68
3195395,0.0,10.3
3195907,0.0,9.03
3196419,0.0,10.48
3196931,0.0,9.31
3197443,0.0,10.61
3197955,0.0,10.33
3198467,0.0,10.37
3198979,0.0,9.08
3199491,0.0,12.2
3200003,0.0,10.11
3200515,0.0,9.69
3201027,0.0,9.33
3201539,0.0,9.51
3202051,0.0,9.3
3202563,0.0,9.46
3203075,0.0,11.22
3203587,0.0,11.83
3204099,0.0,11.8
3204611,0.0,13.14
3205123,0.0,11.42
3205635,0.0,13.05
3206147,0.0,14.28
3206659,0.0,16.34
3207171,0.0,15.1
3207683,0.0,17.31
3208195,0.0,19.52
3208707,0.0,26.96
3209219,0.0,25.02
3209731,5.95,23.3
3210243,6.34,23.22
3210755,6.15,25.94
3211267,5.19,30.44
3211779,5.38,34.55
3212291,5.57,37.17
3212803,5.95,39.7
3213315,6.34,47.03
3213827,6.53,57.12
3214339,6.72,62.47
3214851,7.11,66.92
3215363,7.49,69.53
3215875,7.87,72.25
3216387,8.26,74.89
3216899,8.64,85.35
3217411,9.03,89.79
3217923,9.22,98.81
3218435,9.6,86.37
3218947,9.98,103.59
3219459,10.37,111.17
3219971,10.75,114.42
3220483,11.14,135.9
3220995,11.52,139.97
3221507,11.9,122.47
3222019,12.1,109.1
3222531,12.48,124.08
3223043,12.67,124.61
3223555,13.06,102.72
3224067,13.44,106.23
3224579,13.63,126.08
3225091,14.02,156.46
3225603,14.4,188.07
3226115,14.78,170.05
3226627,15.17,129.0
3227139,15.55,113.21
3227651,15.93,108.13
3228163,16.32,98.16
3228675,16.7,115.75
3229187,17.09,129.52
3229699,17.47,121.99
3230211,18.05,127.05
3230723,18.43,155.53
3231235,18.62,176.05
3231747,19.01,182.65
3232259,19.2,199.2
3232771,19.58,243.46
3233283,19.77,286.98
3233795,20.16,319.88
3234307,20.35,304.33
3234819,20.73,282.03
3235331,20.92,275.84
3235843,20.92,266.55
3236355,21.12,246.26
3236867,21.5,226.59
3237379,21.5,215.24
3237891,21.88,191.63
3238403,22.08,186.64
3238915,22.27,197.38
3239427,22.27,200.96
3239939,22.46,217.87
3240451,22.46,230.09
3240963,22.65,243.35
3241475,22.65,251.82
3241987,22.84,265.92
3242499,22.84,276.56
3243011,23.04,277.68
3243523,23.04,285.13
3244035,23.23,290.58
3244547,23.23,290.85
3245059,23.23,296.57
3245571,23.23,297.88
3246083,23.23,294.14
3246595,23.23,292.0
3247107,23.23,296.05
3247619,23.42,298.51
3248131,23.42,300.22
3248643,23.42,298.87
3249155,23.23,295.15
3249667,23.23,294.64
3250179,23.23,289.1
3250691,23.23,288.51
3251203,23.23,290.77
3251715,23.23,290.46
3252227,23.23,290.09
3252739,23.23,288.0
3253251,23.23,287.41
3253763,23.23,286.28
3254275,23.23,219.13
3254787,5.76,20.24
3255299,0.0,10.35
3255811,0.0,9.72
3256323,0.0,8.51
3256835,0.0,9.4
3257347,0.0,10.36
3257859,0.0,9.41
3258371,0.0,10.45
3258883,0.0,8.8
3259395,0.0,9.91
3259907,0.0,9.32
3260419,0.0,11.37
3260931,0.0,9.28
3261443,0.0,10.22
3261955,0.0,9.78
3262467,0.0,11.35
3262979,0.0,12.59
3263491,0.0,12.62
3264003,0.0,10.54
3264515,0.0,20.93
3265027,0.0,8.43
3265539,0.0,1.8
3266051,0.0,1.84
3266563,0.0,1.79
