time_ms,ias_hz,frame_rms
2017283,0.0,1.91
2017795,0.0,1.91
2018307,0.0,1.99
2018819,0.0,1.99
2019331,0.0,1.97
2019843,0.0,1.95
2020355,0.0,1.92
2020867,0.0,1.78
2021379,0.0,45.65
2021891,0.0,438.32
2022403,0.0,0.73
2022915,0.0,0.67
2023427,0.0,0.74
2023939,0.0,0.53
2024451,0.0,0.61
2024963,0.0,0.6
2025475,0.0,189.69
2025987,0.0,322.48
2026499,0.0,10.93
2027011,0.0,9.79
2027523,0.0,10.26
2028035,0.0,11.16
2028547,0.0,9.96
2029059,0.0,9.55
2029571,0.0,12.37
2030083,0.0,13.19
2030595,0.0,10.06
2031107,0.0,9.74
2031619,0.0,10.22
2032131,0.0,9.77
2032643,0.0,11.23
2033155,0.0,11.06
2033667,0.0,11.43
2034179,0.0,10.38
2034691,0.0,9.25
2035203,0.0,9.58
2035715,0.0,9.95
2036227,0.0,9.77
2036739,0.0,9.61
2037251,0.0,9.87
2037763,0.0,10.28
2038275,0.0,15.4
2038787,0.0,11.92
2039299,0.0,10.29
2039811,0.0,10.63
2040323,0.0,10.77
2040835,0.0,23.25
2041347,0.0,29.66
2041859,7.49,32.27
2042371,7.68,31.71
2042883,7.68,31.63
2043395,7.87,31.93
2043907,7.68,31.44
2044419,7.87,33.45
2044931,7.87,33.01
2045443,7.87,31.86
2045955,7.87,32.79
2046467,7.87,34.8
2046979,7.87,35.17
2047491,8.07,34.39
2048003,8.26,55.54
2048515,8.45,102.89
2049027,10.75,110.05
2049539,10.75,111.36
2050051,10.75,114.65
2050563,10.75,113.19
2051075,10.75,111.43
2051587,10.75,113.04
2052099,10.75,113.61
2052611,10.75,112.9
2053123,10.94,113.22
2053635,10.94,114.46
2054147,10.94,114.18
2054659,10.94,117.06
2055171,10.94,114.95
2055683,11.14,133.7
2056195,16.32,107.44
2056707,16.7,118.71
2057219,16.89,121.18
2057731,16.89,123.35
2058243,16.89,125.77
2058755,16.89,120.01
2059267,16.89,124.58
2059779,16.89,126.49
2060291,16.89,121.77
2060803,16.89,120.3
2061315,16.89,124.76
2061827,16.89,126.98
2062339,17.09,132.63
2062851,17.09,128.39
2063363,17.28,223.69
2063875,21.12,266.01
2064387,21.5,227.62
2064899,21.5,217.66
2065411,21.5,215.46
2065923,21.5,214.54
2066435,21.5,212.86
2066947,21.5,220.15
2067459,21.5,217.48
2067971,21.5,216.14
2068483,21.5,212.5
2068995,21.5,208.44
2069507,21.5,209.88
2070019,21.5,213.71
2070531,21.69,206.82
2071043,22.27,230.64
2071555,22.65,274.46
2072067,22.84,287.73
2072579,23.04,287.21
2073091,23.04,289.03
2073603,23.04,290.91
2074115,23.04,295.72
2074627,23.23,297.93
2075139,23.23,295.42
2075651,23.23,299.12
2076163,23.23,301.65
2076675,23.23,304.3
2077187,23.23,304.44
2077699,23.23,301.52
2078211,23.23,300.98
2078723,23.23,301.33
2079235,23.23,301.06
2079747,23.23,307.96
2080259,23.23,308.16
2080771,23.42,313.6
2081283,23.42,316.42
2081795,23.42,315.74
2082307,23.42,314.77
2082819,23.42,316.08
2083331,23.42,315.31
2083843,23.42,313.19
2084355,23.42,314.94
2084867,23.42,314.23
2085379,23.42,310.01
2085891,23.23,170.19
2086403,0.0,12.84
2086915,0.0,10.75
2087427,0.0,11.73
2087939,0.0,11.13
2088451,0.0,9.63
2088963,0.0,10.18
2089475,0.0,12.54
2089987,0.0,11.62
2090499,0.0,10.29
2091011,0.0,10.01
2091523,0.0,10.86
2092035,0.0,11.41
2092547,0.0,12.77
2093059,0.0,10.64
2093571,0.0,10.16
2094083,0.0,10.72
2094595,0.0,9.81
2095107,0.0,10.64
2095619,0.0,12.46
2096131,0.0,32.59
2096643,0.0,3.46
