time_ms,ias_hz,frame_rms
3538947,0.0,1.96
3539459,0.0,2.02
3539971,0.0,2.04
3540483,0.0,2.0
3540995,0.0,1.95
3541507,0.0,1.9
3542019,0.0,2.09
3542531,0.0,2.11
3543043,0.0,2.1
3543555,0.0,375.43
3544067,0.0,168.6
3544579,0.0,0.68
3545091,0.0,0.68
3545603,0.0,0.74
3546115,0.0,0.66
3546627,0.0,0.75
3547139,0.0,0.7
3547651,0.0,158.07
3548163,0.0,373.42
3548675,0.0,11.21
3549187,0.0,10.28
3549699,0.0,10.67
3550211,0.0,11.6
3550723,0.0,11.15
3551235,0.0,10.62
3551747,0.0,10.55
3552259,0.0,10.32
3552771,0.0,11.47
3553283,0.0,12.1
3553795,0.0,12.52
3554307,0.0,11.56
3554819,0.0,10.13
3555331,0.0,9.66
3555843,0.0,10.26
3556355,0.0,10.42
3556867,0.0,10.85
3557379,0.0,10.78
3557891,0.0,10.48
3558403,0.0,10.82
3558915,0.0,12.19
3559427,0.0,10.5
3559939,0.0,9.7
3560451,0.0,12.77
3560963,0.0,17.19
3561475,0.0,18.51
3561987,0.0,20.7
3562499,0.0,26.83
3563011,5.19,24.28
3563523,5.0,22.99
3564035,5.0,26.78
3564547,5.0,27.65
3565059,5.19,30.41
3565571,5.38,31.49
3566083,5.38,36.4
3566595,5.76,36.3
3567107,6.15,40.77
3567619,6.34,50.54
3568131,6.53,63.42
3568643,7.11,65.43
3569155,7.3,70.77
3569667,7.68,72.07
3570179,8.07,73.72
3570691,8.45,85.73
3571203,8.83,89.87
3571715,9.03,97.31
3572227,9.41,100.25
3572739,9.79,89.91
3573251,9.98,102.89
3573763,10.37,111.27
3574275,10.75,113.01
3574787,11.14,128.24
3575299,11.52,135.27
3575811,11.9,119.74
3576323,12.29,117.06
3576835,12.67,127.71
3577347,13.06,105.16
3577859,13.44,103.8
3578371,13.63,120.01
3578883,14.02,153.53
3579395,14.4,186.51
3579907,14.78,173.92
3580419,15.17,135.17
3580931,15.55,112.98
3581443,16.13,105.3
3581955,16.51,99.19
3582467,16.7,114.9
3582979,16.89,124.44
3583491,17.28,126.21
3584003,17.66,120.95
3584515,18.05,126.89
3585027,18.43,154.42
3585539,18.81,176.4
3586051,19.01,186.96
3586563,19.39,207.8
3587075,19.58,249.41
3587587,19.77,282.07
3588099,20.16,312.96
3588611,20.35,301.23
3589123,20.54,281.43
3589635,20.73,277.05
3590147,20.92,261.8
3590659,21.12,243.83
3591171,21.5,216.61
3591683,21.5,208.66
3592195,21.69,197.18
3592707,21.88,189.03
3593219,22.08,192.6
3593731,22.27,199.02
3594243,22.46,209.64
3594755,22.46,220.29
3595267,22.46,224.21
3595779,22.46,229.75
3596291,22.46,235.26
3596803,22.65,243.37
3597315,22.65,252.19
3597827,22.84,263.26
3598339,22.84,269.18
3598851,22.84,263.3
3599363,22.84,264.27
3599875,22.84,265.04
3600387,22.84,266.23
3600899,22.84,264.31
3601411,22.84,269.27
3601923,22.84,267.02
3602435,22.84,269.2
3602947,23.04,292.45
3603459,23.04,288.87
3603971,23.04,283.25
3604483,23.04,277.78
3604995,23.04,270.71
3605507,23.04,276.88
3606019,22.84,270.05
3606531,22.84,270.75
3607043,23.04,277.47
3607555,23.04,282.69
3608067,23.04,203.31
3608579,0.0,18.36
3609091,0.0,11.35
3609603,0.0,11.57
3610115,0.0,13.18
3610627,0.0,10.59
3611139,0.0,12.88
3611651,0.0,11.4
3612163,0.0,10.84
3612675,0.0,11.27
3613187,0.0,12.5
3613699,0.0,13.01
3614211,0.0,11.94
3614723,0.0,14.08
3615235,0.0,12.91
3615747,0.0,12.39
3616259,0.0,10.71
3616771,0.0,12.64
3617283,0.0,10.57
3617795,0.0,11.26
3618307,0.0,11.97
3618819,0.0,2.24
3619331,0.0,2.03
