time_ms,ias_hz,frame_rms
2111491,0.0,2.07
2112003,0.0,2.1
2112515,0.0,1.92
2113027,0.0,1.93
2113539,0.0,2.03
2114051,0.0,1.94
2114563,0.0,2.13
2115075,0.0,1.87
2115587,0.0,2.07
2116099,0.0,1.97
2116611,0.0,342.03
2117123,0.0,209.8
2117635,0.0,0.91
2118147,0.0,0.77
2118659,0.0,0.79
2119171,0.0,0.58
2119683,0.0,0.69
2120195,0.0,0.79
2120707,0.0,313.31
2121219,0.0,193.57
2121731,0.0,10.06
2122243,0.0,11.27
2122755,0.0,11.37
2123267,0.0,10.8
2123779,0.0,8.95
2124291,0.0,8.9
2124803,0.0,10.77
2125315,0.0,9.8
2125827,0.0,9.47
2126339,0.0,9.46
2126851,0.0,10.58
2127363,0.0,10.05
2127875,0.0,10.43
2128387,0.0,10.18
2128899,0.0,9.59
2129411,0.0,10.87
2129923,0.0,9.33
2130435,0.0,8.8
2130947,0.0,9.32
2131459,0.0,10.1
2131971,0.0,9.11
2132483,0.0,9.37
2132995,0.0,10.37
2133507,0.0,9.23
2134019,0.0,8.96
2134531,0.0,9.68
2135043,0.0,9.67
2135555,0.0,12.01
2136067,0.0,24.54
2136579,0.0,30.77
2137091,5.0,30.69
2137603,5.19,30.68
2138115,5.19,30.61
2138627,5.0,30.51
2139139,5.19,31.99
2139651,5.19,30.23
2140163,5.19,29.52
2140675,5.0,29.82
2141187,5.0,32.02
2141699,5.0,30.9
2142211,5.19,30.89
2142723,5.19,30.95
2143235,5.57,60.78
2143747,10.37,103.02
2144259,10.75,108.88
2144771,10.75,112.75
2145283,10.75,118.18
2145795,10.94,120.06
2146307,10.94,119.49
2146819,10.94,122.95
2147331,10.94,121.38
2147843,10.94,125.8
2148355,10.94,122.45
2148867,10.94,123.65
2149379,10.94,121.08
2149891,10.94,121.41
2150403,10.94,123.68
2150915,10.94,138.69
2151427,16.7,111.89
2151939,16.89,125.48
2152451,17.09,124.67
2152963,17.09,130.93
2153475,17.09,124.92
2153987,17.09,127.11
2154499,17.09,129.12
2155011,17.09,123.51
2155523,17.09,127.78
2156035,17.09,126.21
2156547,17.09,124.61
2157059,17.28,127.82
2157571,17.28,126.5
2158083,17.28,131.71
2158595,20.73,268.26
2159107,21.31,236.16
2159619,21.5,216.07
2160131,21.5,212.88
2160643,21.5,208.69
2161155,21.69,206.25
2161667,21.69,201.11
2162179,21.69,199.88
2162691,21.69,200.94
2163203,21.69,201.03
2163715,21.69,198.43
2164227,21.69,196.65
2164739,21.69,196.45
2165251,21.69,197.07
2165763,21.88,200.36
2166275,22.65,268.55
2166787,23.04,296.19
2167299,23.23,296.66
2167811,23.23,301.12
2168323,23.23,304.29
2168835,23.23,300.7
2169347,23.23,299.97
2169859,23.23,296.49
2170371,23.23,298.04
2170883,23.23,301.4
2171395,23.23,302.61
2171907,23.23,307.47
2172419,23.42,311.3
2172931,23.42,311.24
2173443,23.42,319.97
2173955,23.42,321.13
2174467,23.42,313.05
2174979,23.42,313.64
2175491,23.42,318.54
2176003,23.42,318.35
2176515,23.42,322.76
2177027,23.42,320.9
2177539,23.42,315.41
2178051,23.42,313.87
2178563,23.42,313.66
2179075,23.42,312.98
2179587,23.42,312.4
2180099,23.42,313.29
2180611,23.42,309.55
2181123,23.42,91.87
2181635,0.0,11.48
2182147,0.0,10.38
2182659,0.0,12.76
2183171,0.0,10.2
2183683,0.0,9.16
2184195,0.0,10.1
2184707,0.0,10.52
2185219,0.0,9.89
2185731,0.0,10.8
2186243,0.0,10.92
2186755,0.0,10.22
2187267,0.0,12.39
2187779,0.0,9.98
2188291,0.0,10.14
2188803,0.0,11.66
2189315,0.0,9.85
2189827,0.0,11.49
2190339,0.0,11.27
2190851,0.0,16.96
2191363,0.0,35.81
2191875,0.0,1.9
