time_ms,ias_hz,frame_rms
3721219,0.0,2.06
3721731,0.0,2.01
3722243,0.0,2.07
3722755,0.0,2.02
3723267,0.0,1.98
3723779,0.0,1.98
3724291,0.0,2.0
3724803,0.0,2.01
3725315,0.0,428.46
3725827,0.0,77.63
3726339,0.0,0.78
3726851,0.0,0.82
3727363,0.0,0.61
3727875,0.0,0.63
3728387,0.0,0.68
3728899,0.0,0.67
3729411,0.0,0.63
3729923,0.0,382.96
3730435,0.0,91.86
3730947,0.0,10.13
3731459,0.0,9.1
3731971,0.0,10.39
3732483,0.0,9.8
3732995,0.0,10.14
3733507,0.0,10.94
3734019,0.0,11.1
3734531,0.0,9.85
3735043,0.0,9.94
3735555,0.0,12.04
3736067,0.0,13.1
3736579,0.0,9.9
3737091,0.0,10.09
3737603,0.0,10.08
3738115,0.0,10.62
3738627,0.0,9.31
3739139,0.0,9.59
3739651,0.0,11.4
3740163,0.0,12.13
3740675,0.0,11.87
3741187,0.0,13.75
3741699,0.0,12.74
3742211,0.0,13.4
3742723,0.0,15.12
3743235,0.0,17.7
3743747,0.0,17.83
3744259,0.0,20.62
3744771,0.0,23.95
3745283,5.0,25.84
3745795,5.0,23.6
3746307,5.0,23.37
3746819,5.0,25.93
3747331,5.19,28.88
3747843,5.38,33.91
3748355,5.57,38.05
3748867,5.0,41.93
3749379,6.34,53.29
3749891,6.53,61.19
3750403,6.91,65.2
3750915,7.3,70.32
3751427,7.68,72.07
3751939,8.07,73.58
3752451,8.45,84.05
3752963,8.83,89.03
3753475,9.03,95.54
3753987,9.41,102.0
3754499,9.79,90.01
3755011,9.98,106.07
3755523,10.37,111.82
3756035,10.75,117.86
3756547,11.14,132.85
3757059,11.71,133.57
3757571,11.9,113.46
3758083,12.29,117.47
3758595,12.67,125.06
3759107,13.06,103.25
3759619,13.44,105.56
3760131,13.63,125.22
3760643,14.02,158.96
3761155,14.59,189.75
3761667,14.78,175.2
3762179,15.17,133.11
3762691,15.55,115.21
3763203,15.93,110.24
3763715,16.32,102.37
3764227,16.7,110.44
3764739,17.09,127.21
3765251,17.47,120.83
3765763,17.85,119.64
3766275,18.05,132.57
3766787,18.43,163.15
3767299,18.81,176.08
3767811,19.01,187.69
3768323,19.39,208.9
3768835,19.58,236.59
3769347,19.77,278.5
3769859,19.96,311.21
3770371,20.35,305.42
3770883,20.54,282.6
3771395,20.73,277.3
3771907,20.92,266.89
3772419,21.12,247.1
3772931,21.5,223.14
3773443,21.5,214.87
3773955,21.69,201.8
3774467,21.88,188.46
3774979,22.08,195.12
3775491,22.27,199.85
3776003,22.46,212.62
3776515,22.46,225.83
3777027,22.65,237.12
3777539,22.65,250.13
3778051,22.84,260.3
3778563,22.84,274.98
3779075,22.84,272.82
3779587,23.04,278.01
3780099,23.23,293.01
3780611,23.23,293.33
3781123,23.23,296.19
3781635,23.23,300.46
3782147,23.23,298.95
3782659,23.23,299.94
3783171,23.23,298.8
3783683,23.23,298.9
3784195,23.23,302.38
3784707,23.23,299.57
3785219,23.23,296.59
3785731,23.23,291.53
3786243,23.23,289.97
3786755,23.23,294.09
3787267,23.23,298.57
3787779,23.23,295.56
3788291,23.23,289.38
3788803,23.23,294.63
3789315,23.23,292.03
3789827,23.23,268.28
3790339,23.23,56.17
3790851,0.0,8.59
3791363,0.0,11.44
3791875,0.0,12.47
3792387,0.0,11.02
3792899,0.0,10.32
3793411,0.0,9.45
3793923,0.0,9.23
3794435,0.0,9.71
3794947,0.0,9.0
3795459,0.0,10.67
3795971,0.0,9.38
3796483,0.0,10.65
3796995,0.0,11.01
3797507,0.0,9.61
3798019,0.0,10.87
3798531,0.0,12.76
3799043,0.0,9.34
3799555,0.0,9.56
3800067,0.0,21.73
3800579,0.0,27.94
3801091,0.0,1.88
