time_ms,ias_hz,frame_rms
2627075,0.0,2.02
2627587,0.0,2.07
2628099,0.0,2.01
2628611,0.0,2.03
2629123,0.0,2.01
2629635,0.0,1.99
2630147,0.0,2.01
2630659,0.0,1.96
2631171,0.0,1.96
2631683,0.0,2.02
2632195,0.0,188.95
2632707,0.0,359.51
2633219,0.0,0.64
2633731,0.0,0.61
2634243,0.0,0.64
2634755,0.0,0.66
2635267,0.0,0.81
2635779,0.0,0.75
2636291,0.0,0.62
2636803,0.0,267.29
2637315,0.0,246.13
2637827,0.0,10.34
2638339,0.0,12.41
2638851,0.0,12.37
2639363,0.0,9.28
2639875,0.0,10.27
2640387,0.0,12.19
2640899,0.0,11.05
2641411,0.0,11.04
2641923,0.0,10.58
2642435,0.0,12.69
2642947,0.0,12.16
2643459,0.0,11.06
2643971,0.0,9.58
2644483,0.0,11.58
2644995,0.0,11.4
2645507,0.0,9.99
2646019,0.0,12.59
2646531,0.0,10.08
2647043,0.0,10.0
2647555,0.0,10.7
2648067,0.0,9.78
2648579,0.0,10.0
2649091,0.0,9.86
2649603,0.0,12.03
2650115,0.0,10.92
2650627,0.0,9.16
2651139,0.0,10.68
2651651,0.0,10.69
2652163,0.0,23.12
2652675,0.0,29.0
2653187,5.19,31.04
2653699,5.19,31.07
2654211,5.19,30.71
2654723,5.19,30.51
2655235,5.19,30.21
2655747,5.19,30.82
2656259,5.19,29.05
2656771,5.19,31.15
2657283,5.19,29.43
2657795,5.19,29.52
2658307,5.0,29.24
2658819,5.0,30.22
2659331,5.38,54.4
2659843,10.18,95.37
2660355,10.56,104.27
2660867,10.75,106.05
2661379,10.56,100.7
2661891,10.56,102.78
2662403,10.56,101.76
2662915,10.56,101.79
2663427,10.56,104.35
2663939,10.56,101.59
2664451,10.56,102.52
2664963,10.56,103.23
2665475,10.56,101.45
2665987,10.56,101.47
2666499,10.56,102.33
2667011,10.75,130.41
2667523,16.13,107.15
2668035,16.51,95.67
2668547,16.7,106.33
2669059,16.7,109.15
2669571,16.51,100.33
2670083,16.51,100.5
2670595,16.51,97.44
2671107,16.51,98.33
2671619,16.51,99.77
2672131,16.51,95.81
2672643,16.51,98.82
2673155,16.51,100.8
2673667,16.51,100.64
2674179,16.51,102.54
2674691,16.7,213.73
2675203,20.73,282.22
2675715,20.92,269.59
2676227,20.92,261.32
2676739,20.92,253.96
2677251,21.12,246.37
2677763,21.12,244.22
2678275,21.31,235.22
2678787,21.31,224.45
2679299,21.5,215.6
2679811,21.5,213.49
2680323,21.5,212.71
2680835,21.5,210.38
2681347,21.5,214.78
2681859,21.5,215.71
2682371,22.08,208.85
2682883,22.46,243.95
2683395,22.84,270.39
2683907,22.84,270.64
2684419,22.84,275.69
2684931,22.84,277.06
2685443,22.84,278.92
2685955,22.84,275.02
2686467,22.84,280.36
2686979,22.84,268.79
2687491,22.84,266.13
2688003,22.84,271.0
2688515,22.84,274.39
2689027,22.84,279.31
2689539,22.84,276.1
2690051,22.84,274.08
2690563,22.84,264.69
2691075,22.84,272.12
2691587,22.84,272.37
2692099,22.84,264.31
2692611,22.65,257.79
2693123,22.65,259.97
2693635,22.84,269.97
2694147,22.84,276.65
2694659,22.84,284.12
2695171,22.84,268.97
2695683,22.84,272.73
2696195,22.84,274.85
2696707,22.84,275.74
2697219,22.65,122.21
2697731,0.0,10.75
2698243,0.0,12.22
2698755,0.0,11.07
2699267,0.0,10.49
2699779,0.0,12.44
2700291,0.0,10.93
2700803,0.0,11.38
2701315,0.0,9.5
2701827,0.0,9.46
2702339,0.0,10.85
2702851,0.0,11.17
2703363,0.0,10.35
2703875,0.0,9.71
2704387,0.0,11.66
2704899,0.0,10.73
2705411,0.0,13.04
2705923,0.0,10.93
2706435,0.0,10.61
2706947,0.0,12.35
2707459,0.0,36.78
2707971,0.0,1.81
2708483,0.0,1.91
2708995,0.0,1.97
2709507,0.0,2.08
