time_ms,ias_hz,frame_rms
3275267,0.0,1.84
3275779,0.0,1.75
3276291,0.0,1.87
3276803,0.0,1.78
3277315,0.0,1.89
3277827,0.0,1.85
3278339,0.0,1.96
3278851,0.0,1.81
3279363,0.0,1.97
3279875,0.0,331.73
3280387,0.0,221.53
3280899,0.0,0.64
3281411,0.0,0.54
3281923,0.0,0.63
3282435,0.0,0.61
3282947,0.0,0.66
3283459,0.0,0.6
3283971,0.0,131.07
3284483,0.0,371.74
3284995,0.0,10.36
3285507,0.0,8.99
3286019,0.0,10.17
3286531,0.0,10.16
3287043,0.0,12.2
3287555,0.0,10.85
3288067,0.0,10.76
3288579,0.0,10.09
3289091,0.0,10.28
3289603,0.0,11.17
3290115,0.0,9.36
3290627,0.0,10.36
3291139,0.0,11.31
3291651,0.0,9.76
3292163,0.0,11.38
3292675,0.0,9.85
3293187,0.0,11.53
3293699,0.0,11.1
3294211,0.0,11.03
3294723,0.0,14.38
3295235,0.0,10.92
3295747,0.0,11.88
3296259,0.0,13.85
3296771,0.0,16.56
3297283,0.0,18.21
3297795,0.0,17.23
3298307,0.0,22.67
3298819,0.0,26.55
3299331,7.49,24.93
3299843,8.07,23.56
3300355,8.64,24.96
3300867,9.41,28.9
3301379,9.98,31.03
3301891,10.56,34.25
3302403,5.76,37.42
3302915,6.15,44.22
3303427,6.34,53.53
3303939,6.72,60.24
3304451,7.11,64.93
3304963,7.49,70.69
3305475,7.68,72.28
3305987,8.07,75.19
3306499,8.45,86.97
3307011,8.83,89.42
3307523,9.03,98.24
3308035,9.22,100.38
3308547,9.6,92.68
3309059,9.98,101.29
3309571,10.37,110.61
3310083,10.75,111.03
3310595,11.14,129.75
3311107,11.52,137.99
3311619,11.71,121.37
3312131,12.1,109.82
3312643,12.48,125.02
3313155,12.86,112.6
3313667,13.25,101.23
3314179,13.63,118.61
3314691,14.02,145.16
3315203,14.4,184.32
3315715,14.78,181.44
3316227,14.97,154.11
3316739,15.36,120.43
3317251,15.74,110.51
3317763,16.13,104.66
3318275,16.32,101.08
3318787,16.7,116.43
3319299,17.28,126.62
3319811,17.66,120.88
3320323,18.05,129.58
3320835,18.43,161.58
3321347,18.81,176.46
3321859,19.01,189.96
3322371,19.39,211.27
3322883,19.58,253.63
3323395,19.96,298.27
3323907,20.16,315.01
3324419,20.35,298.6
3324931,20.54,288.8
3325443,20.73,277.69
3325955,20.92,269.78
3326467,21.12,248.51
3326979,21.31,224.16
3327491,21.5,211.43
3328003,21.69,199.0
3328515,21.88,192.27
3329027,22.27,200.81
3329539,22.46,214.32
3330051,22.46,227.54
3330563,22.65,246.59
3331075,22.84,262.35
3331587,23.04,279.85
3332099,23.04,287.19
3332611,23.04,277.99
3333123,23.04,275.69
3333635,23.04,285.66
3334147,23.23,294.28
3334659,23.23,299.16
3335171,23.23,298.17
3335683,23.23,301.6
3336195,23.42,305.44
3336707,23.42,299.5
3337219,23.42,298.29
3337731,23.42,300.26
3338243,23.42,301.46
3338755,23.42,302.9
3339267,23.42,303.52
3339779,23.42,301.05
3340291,23.23,287.85
3340803,23.23,285.38
3341315,23.04,276.17
3341827,23.04,279.6
3342339,23.23,290.75
3342851,23.23,296.12
3343363,23.23,301.55
3343875,23.42,307.96
3344387,23.42,248.32
3344899,6.72,30.19
3345411,0.0,11.35
3345923,0.0,11.45
3346435,0.0,11.86
3346947,0.0,9.66
3347459,0.0,10.6
3347971,0.0,10.97
3348483,0.0,9.48
3348995,0.0,11.24
3349507,0.0,10.04
3350019,0.0,12.57
3350531,0.0,12.41
3351043,0.0,11.19
3351555,0.0,11.08
3352067,0.0,10.25
3352579,0.0,11.55
3353091,0.0,11.7
3353603,0.0,12.76
3354115,0.0,10.05
3354627,0.0,25.86
3355139,0.0,5.75
