time_ms,ias_hz,frame_rms
3097091,0.0,1.98
3097603,0.0,1.97
3098115,0.0,1.95
3098627,0.0,1.85
3099139,0.0,1.93
3099651,0.0,1.95
3100163,0.0,1.98
3100675,0.0,1.95
3101187,0.0,394.13
3101699,0.0,142.62
3102211,0.0,0.7
3102723,0.0,0.57
3103235,0.0,0.65
3103747,0.0,0.68
3104259,0.0,0.64
3104771,0.0,0.7
3105283,0.0,0.78
3105795,0.0,0.61
3106307,0.0,414.69
3106819,0.0,26.67
3107331,0.0,9.72
3107843,0.0,8.82
3108355,0.0,9.34
3108867,0.0,9.82
3109379,0.0,8.59
3109891,0.0,9.5
3110403,0.0,10.54
3110915,0.0,10.1
3111427,0.0,10.24
3111939,0.0,12.15
3112451,0.0,10.4
3112963,0.0,9.17
3113475,0.0,11.38
3113987,0.0,8.31
3114499,0.0,10.87
3115011,0.0,10.46
3115523,0.0,10.26
3116035,0.0,11.73
3116547,0.0,11.12
3117059,0.0,13.09
3117571,0.0,13.39
3118083,0.0,15.22
3118595,0.0,14.42
3119107,0.0,15.63
3119619,0.0,18.16
3120131,0.0,24.32
3120643,0.0,26.1
3121155,5.19,25.31
3121667,5.38,22.75
3122179,5.38,24.06
3122691,5.19,27.67
3123203,5.38,31.72
3123715,5.57,36.69
3124227,5.76,37.42
3124739,6.34,43.36
3125251,6.53,53.66
3125763,6.72,63.44
3126275,7.11,65.31
3126787,7.49,69.76
3127299,7.87,72.43
3127811,8.26,71.96
3128323,8.45,81.73
3128835,8.83,84.26
3129347,9.22,92.99
3129859,9.6,87.75
3130371,9.98,91.62
3130883,10.18,101.16
3131395,10.56,102.85
3131907,10.94,116.84
3132419,11.14,132.55
3132931,11.33,132.58
3133443,11.71,122.9
3133955,12.1,107.42
3134467,12.48,121.81
3134979,12.86,107.25
3135491,13.25,94.97
3136003,13.63,113.19
3136515,13.82,133.7
3137027,14.21,160.76
3137539,14.59,179.64
3138051,14.97,142.64
3138563,15.17,112.92
3139075,15.55,106.22
3139587,16.13,101.22
3140099,16.51,100.62
3140611,16.89,114.18
3141123,17.47,118.8
3141635,17.66,117.09
3142147,18.05,119.96
3142659,18.24,145.2
3143171,18.81,170.09
3143683,19.2,189.52
3144195,19.58,223.09
3144707,19.77,256.58
3145219,19.96,295.71
3145731,20.35,290.55
3146243,20.54,268.96
3146755,20.73,260.85
3147267,20.92,253.09
3147779,21.12,237.16
3148291,21.31,216.93
3148803,21.5,204.68
3149315,21.69,184.21
3149827,22.08,183.69
3150339,22.27,194.89
3150851,22.27,197.85
3151363,22.46,207.91
3151875,22.46,214.94
3152387,22.65,231.72
3152899,22.84,253.62
3153411,23.04,266.12
3153923,23.23,273.22
3154435,23.23,272.23
3154947,23.23,280.32
3155459,23.42,291.26
3155971,23.42,291.44
3156483,23.42,298.02
3156995,23.42,297.14
3157507,23.42,297.89
3158019,23.42,299.86
3158531,23.42,293.61
3159043,23.42,290.42
3159555,23.42,291.0
3160067,23.42,296.07
3160579,23.42,296.72
3161091,23.42,298.25
3161603,23.42,304.7
3162115,23.61,306.91
3162627,23.61,310.11
3163139,23.61,308.16
3163651,23.61,312.75
3164163,23.61,313.23
3164675,23.61,315.48
3165187,23.61,314.49
3165699,23.61,312.85
3166211,23.61,240.88
3166723,6.53,22.79
3167235,0.0,10.61
3167747,0.0,9.48
3168259,0.0,8.77
3168771,0.0,10.52
3169283,0.0,9.89
3169795,0.0,8.55
3170307,0.0,9.27
3170819,0.0,9.42
3171331,0.0,9.81
3171843,0.0,9.26
3172355,0.0,9.86
3172867,0.0,9.06
3173379,0.0,9.4
3173891,0.0,9.56
3174403,0.0,10.33
3174915,0.0,9.0
3175427,0.0,8.58
3175939,0.0,9.37
3176451,0.0,20.76
