time_ms,ias_hz,frame_rms
3903491,0.0,1.9
3904003,0.0,2.13
3904515,0.0,2.05
3905027,0.0,2.1
3905539,0.0,1.97
3906051,0.0,2.0
3906563,0.0,2.0
3907075,0.0,1.98
3907587,0.0,1.89
3908099,0.0,1.98
3908611,0.0,327.92
3909123,0.0,225.65
3909635,0.0,0.63
3910147,0.0,0.64
3910659,0.0,0.67
3911171,0.0,0.64
3911683,0.0,0.56
3912195,0.0,0.59
3912707,0.0,62.91
3913219,0.0,392.56
3913731,0.0,9.83
3914243,0.0,11.05
3914755,0.0,8.76
3915267,0.0,10.27
3915779,0.0,9.74
3916291,0.0,10.79
3916803,0.0,12.6
3917315,0.0,13.4
3917827,0.0,10.25
3918339,0.0,10.6
3918851,0.0,15.06
3919363,0.0,12.51
3919875,0.0,10.82
3920387,0.0,9.06
3920899,0.0,9.39
3921411,0.0,10.94
3921923,0.0,11.82
3922435,0.0,9.17
3922947,0.0,9.63
3923459,0.0,10.11
3923971,0.0,14.35
3924483,0.0,12.79
3924995,0.0,14.14
3925507,0.0,15.52
3926019,0.0,15.94
3926531,0.0,18.23
3927043,0.0,21.66
3927555,0.0,24.41
3928067,7.68,23.46
3928579,8.45,25.0
3929091,8.64,25.21
3929603,9.22,28.48
3930115,9.41,33.77
3930627,9.6,36.9
3931139,9.03,39.55
3931651,8.64,49.79
3932163,8.26,60.5
3932675,7.11,63.38
3933187,7.3,68.64
3933699,7.49,69.27
3934211,7.87,73.39
3934723,8.26,77.78
3935235,8.64,88.18
3935747,9.03,91.85
3936259,9.22,97.26
3936771,9.6,88.02
3937283,9.98,102.22
3937795,10.37,107.39
3938307,10.56,103.6
3938819,10.94,115.57
3939331,11.33,136.73
3939843,11.71,127.51
3940355,11.9,112.59
3940867,12.29,120.67
3941379,12.67,125.91
3941891,13.06,100.62
3942403,13.44,110.91
3942915,13.63,125.8
3943427,14.02,144.93
3943939,14.4,182.76
3944451,14.78,181.67
3944963,15.17,131.13
3945475,15.55,112.3
3945987,15.93,107.59
3946499,16.13,103.93
3947011,16.51,107.76
3947523,17.09,123.31
3948035,17.28,120.8
3948547,17.66,115.76
3949059,18.05,127.7
3949571,18.43,166.82
3950083,18.81,180.41
3950595,19.01,189.59
3951107,19.2,194.76
3951619,19.39,213.15
3952131,19.77,256.02
3952643,19.96,310.81
3953155,20.35,303.99
3953667,20.54,283.02
3954179,20.92,266.27
3954691,21.12,248.83
3955203,21.31,223.18
3955715,21.5,211.06
3956227,21.69,195.96
3956739,21.88,190.62
3957251,21.88,188.55
3957763,21.88,193.06
3958275,21.88,188.98
3958787,21.88,190.49
3959299,22.08,188.76
3959811,22.27,197.42
3960323,22.27,204.9
3960835,22.46,207.44
3961347,22.46,208.75
3961859,22.46,215.03
3962371,22.46,224.56
3962883,22.46,227.93
3963395,22.65,237.78
3963907,22.65,238.68
3964419,22.65,240.51
3964931,22.65,237.23
3965443,22.46,223.91
3965955,22.46,221.07
3966467,22.46,219.04
3966979,22.46,227.06
3967491,22.46,230.82
3968003,22.46,235.07
3968515,22.46,237.81
3969027,22.65,245.0
3969539,22.65,250.43
3970051,22.65,253.61
3970563,22.65,262.08
3971075,22.84,263.76
3971587,22.84,265.8
3972099,22.84,264.42
3972611,22.84,262.02
3973123,22.84,188.14
3973635,0.0,17.81
3974147,0.0,12.11
3974659,0.0,11.71
3975171,0.0,9.15
3975683,0.0,10.2
3976195,0.0,10.37
3976707,0.0,9.38
3977219,0.0,10.86
3977731,0.0,9.99
3978243,0.0,9.19
3978755,0.0,9.87
3979267,0.0,9.77
3979779,0.0,11.23
3980291,0.0,10.59
3980803,0.0,9.78
3981315,0.0,9.54
3981827,0.0,9.75
3982339,0.0,10.59
3982851,0.0,9.99
3983363,0.0,35.64
3983875,0.0,16.88
3984387,0.0,1.96
