time_ms,ias_hz,frame_rms
821763,0.0,1.91
822275,0.0,2.04
822787,0.0,2.28
823299,0.0,2.2
823811,0.0,2.02
824323,0.0,1.94
824835,0.0,1.93
825347,0.0,92.66
825859,0.0,422.16
826371,0.0,0.79
826883,0.0,0.93
827395,0.0,0.84
827907,0.0,0.9
828419,0.0,0.76
828931,0.0,0.73
829443,0.0,0.74
829955,0.0,457.69
830467,0.0,8.55
830979,0.0,10.31
831491,0.0,8.87
832003,0.0,10.05
832515,0.0,7.59
833027,0.0,8.55
833539,0.0,7.2
834051,0.0,7.92
834563,0.0,47.06
835075,0.0,155.6
835587,5.57,189.12
836099,23.42,246.51
836611,23.61,270.46
837123,23.8,288.29
837635,23.8,295.28
838147,24.0,307.1
838659,24.0,313.92
839171,24.0,309.99
839683,23.8,191.23
840195,0.0,16.6
840707,0.0,8.78
841219,0.0,8.01
841731,0.0,9.42
842243,0.0,8.43
842755,0.0,8.49
843267,0.0,8.23
843779,0.0,7.16
844291,0.0,10.84
844803,0.0,83.84
845315,0.0,204.92
845827,22.46,244.19
846339,23.61,287.97
846851,23.8,298.66
847363,23.8,297.53
847875,23.8,299.19
848387,23.8,298.43
848899,23.8,301.42
849411,23.8,299.87
849923,23.61,105.22
850435,0.0,8.74
850947,0.0,7.6
851459,0.0,9.67
851971,0.0,7.17
852483,0.0,9.02
852995,0.0,11.29
853507,0.0,10.54
854019,0.0,9.65
854531,0.0,21.74
855043,0.0,123.33
855555,22.46,197.87
856067,23.04,242.19
856579,23.42,273.13
857091,23.61,293.46
857603,23.8,302.8
858115,24.0,311.94
858627,24.0,316.79
859139,24.0,315.49
859651,24.0,272.53
860163,6.91,34.3
860675,0.0,8.86
861187,0.0,8.25
861699,0.0,9.01
862211,0.0,8.68
862723,0.0,9.37
863235,0.0,8.04
863747,0.0,7.91
864259,0.0,8.53
864771,0.0,57.05
865283,0.0,170.78
865795,22.84,207.9
866307,23.42,261.86
866819,23.61,288.12
867331,23.8,294.88
867843,23.8,301.91
868355,24.0,310.18
868867,24.0,311.97
869379,24.0,306.36
869891,24.0,163.91
870403,0.0,10.83
870915,0.0,7.52
871427,0.0,7.99
871939,0.0,9.34
872451,0.0,7.76
872963,0.0,7.78
873475,0.0,9.07
873987,0.0,9.34
874499,0.0,10.03
875011,0.0,86.4
875523,0.0,195.42
876035,22.65,240.83
876547,23.61,279.58
877059,23.8,288.38
877571,23.8,295.83
878083,23.8,298.93
878595,23.8,299.47
879107,23.8,297.42
879619,23.8,289.13
880131,23.61,70.94
880643,0.0,8.0
881155,0.0,7.96
881667,0.0,8.47
882179,0.0,8.3
882691,0.0,7.71
883203,0.0,8.0
883715,0.0,8.54
884227,0.0,8.24
884739,0.0,33.13
885251,0.0,134.7
885763,22.27,190.45
886275,22.84,230.64
886787,23.23,248.79
887299,23.42,251.52
887811,23.42,252.59
888323,23.42,252.02
888835,23.42,254.18
889347,23.42,258.14
889859,23.42,206.1
890371,6.34,20.93
890883,0.0,9.37
891395,0.0,8.68
891907,0.0,7.63
892419,0.0,8.57
892931,0.0,9.46
893443,0.0,9.38
893955,0.0,10.08
894467,0.0,8.0
894979,0.0,7.98
895491,0.0,7.64
896003,0.0,7.55
896515,0.0,8.93
897027,0.0,8.11
897539,0.0,7.58
898051,0.0,8.78
898563,0.0,8.04
899075,0.0,8.87
899587,0.0,8.66
900099,0.0,11.77
900611,0.0,7.25
901123,0.0,1.81
901635,0.0,1.76
