time_ms,ias_hz,frame_rms
2447875,0.0,1.98
2448387,0.0,1.86
2448899,0.0,2.0
2449411,0.0,1.96
2449923,0.0,2.11
2450435,0.0,1.92
2450947,0.0,1.98
2451459,0.0,1.92
2451971,0.0,2.14
2452483,0.0,1.9
2452995,0.0,1.89
2453507,0.0,237.96
2454019,0.0,316.64
2454531,0.0,0.65
2455043,0.0,0.56
2455555,0.0,0.67
2456067,0.0,0.65
2456579,0.0,0.6
2457091,0.0,0.81
2457603,0.0,0.76
2458115,0.0,418.37
2458627,0.0,11.48
2459139,0.0,11.19
2459651,0.0,10.31
2460163,0.0,9.29
2460675,0.0,10.51
2461187,0.0,11.01
2461699,0.0,9.85
2462211,0.0,10.1
2462723,0.0,11.76
2463235,0.0,11.62
2463747,0.0,10.74
2464259,0.0,10.64
2464771,0.0,11.09
2465283,0.0,9.57
2465795,0.0,11.1
2466307,0.0,11.61
2466819,0.0,10.38
2467331,0.0,10.36
2467843,0.0,11.15
2468355,0.0,9.93
2468867,0.0,11.44
2469379,0.0,12.32
2469891,0.0,10.48
2470403,0.0,13.31
2470915,0.0,12.82
2471427,0.0,10.22
2471939,0.0,11.26
2472451,0.0,10.0
2472963,0.0,17.61
2473475,0.0,27.17
2473987,0.0,32.2
2474499,7.87,32.86
2475011,7.87,33.6
2475523,8.07,32.88
2476035,8.07,33.41
2476547,8.07,33.82
2477059,8.07,32.53
2477571,8.07,31.59
2478083,8.07,33.34
2478595,8.07,32.0
2479107,8.07,33.13
2479619,8.07,32.64
2480131,8.07,34.89
2480643,7.87,90.67
2481155,8.07,105.85
2481667,8.26,114.44
2482179,8.26,113.11
2482691,8.07,117.64
2483203,8.07,111.39
2483715,8.07,107.21
2484227,8.07,112.51
2484739,10.75,112.35
2485251,10.75,114.76
2485763,10.94,112.57
2486275,10.75,113.23
2486787,10.75,112.2
2487299,10.75,111.35
2487811,10.75,116.2
2488323,16.13,121.75
2488835,16.51,105.38
2489347,16.7,114.54
2489859,16.7,112.11
2490371,16.89,117.33
2490883,16.89,119.77
2491395,16.89,121.4
2491907,16.89,123.78
2492419,16.89,123.81
2492931,17.09,124.73
2493443,17.09,127.35
2493955,17.09,125.74
2494467,16.89,121.54
2494979,16.89,115.73
2495491,16.89,168.76
2496003,20.92,280.09
2496515,21.12,246.67
2497027,21.31,233.12
2497539,21.31,227.05
2498051,21.31,224.24
2498563,21.5,215.11
2499075,21.5,218.37
2499587,21.5,212.99
2500099,21.5,214.54
2500611,21.5,215.22
2501123,21.5,212.34
2501635,21.5,215.82
2502147,21.5,209.56
2502659,21.5,213.3
2503171,22.08,214.15
2503683,22.46,243.4
2504195,22.65,256.3
2504707,22.84,267.29
2505219,22.84,270.85
2505731,22.84,280.12
2506243,22.84,281.2
2506755,23.04,282.01
2507267,23.04,292.25
2507779,23.04,288.02
2508291,23.04,292.82
2508803,23.23,300.84
2509315,23.23,298.23
2509827,23.23,304.46
2510339,23.23,305.16
2510851,23.23,296.98
2511363,23.23,297.42
2511875,23.23,297.14
2512387,23.23,290.89
2512899,23.23,290.05
2513411,23.23,292.58
2513923,23.23,293.6
2514435,23.23,293.93
2514947,23.23,295.37
2515459,23.23,297.37
2515971,23.23,300.38
2516483,23.23,302.64
2516995,23.42,305.83
2517507,23.42,311.24
2518019,23.42,251.86
2518531,23.23,27.15
2519043,0.0,9.73
2519555,0.0,13.14
2520067,0.0,10.5
2520579,0.0,11.66
2521091,0.0,9.62
2521603,0.0,10.63
2522115,0.0,12.71
2522627,0.0,10.21
2523139,0.0,9.6
2523651,0.0,9.12
2524163,0.0,11.32
2524675,0.0,10.81
2525187,0.0,11.04
2525699,0.0,11.39
2526211,0.0,10.09
2526723,0.0,11.89
2527235,0.0,9.88
2527747,0.0,9.99
2528259,0.0,21.01
2528771,0.0,15.13
2529283,0.0,1.96
2529795,0.0,2.04
2530307,0.0,2.14
2530819,0.0,2.08
